Codigo_NCM,Capitulo,Descr_Capitulo,Posicao,Descr_Posicao,Descricao,Data_Inicio,Data_Fim,Ato_Legal
0308.30.00,03,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos.",0308,,- Medusas (águas-vivas) (Rhopilema spp.),01/04/2022,31/12/9999,Res Camex 272 2021
1520.00,15,cm,1520,,"Glicerol em bruto; águas e lixívias, glicéricas.",01/04/2022,31/12/9999,Res Camex 272 2021
1520.00.20,15,cm,1520,,"Águas e lixívias, glicéricas",01/04/2022,31/12/9999,Res Camex 272 2021
1605.63.00,16,,1605,"Crustáceos, moluscos e outros invertebrados aquáticos, preparados ou em conservas.",-- Medusas (águas-vivas),01/04/2022,31/12/9999,Res Camex 272 2021
2201.10.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2201,,- Águas minerais e águas gaseificadas,01/04/2022,31/12/9999,Res Camex 272 2021
2202.91.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2202,,-- Cerveja sem álcool,01/04/2022,31/12/9999,Res Camex 272 2021
2203.00.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2203,,Cervejas de malte.,01/04/2022,31/12/9999,Res Camex 272 2021
2208.30,22,"Bebidas, líquidos alcoólicos e vinagres.",2208,,- Uísques,01/04/2022,31/12/9999,Res Camex 272 2021
2303.30.00,23,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais.,2303,,- Borras e desperdícios da indústria da cerveja e das destilarias,01/04/2022,31/12/9999,Res Camex 272 2021
2842.10.10,28,,2842,,Zeólitas do tipo utilizado como trocadores de íons para o tratamento de águas,01/04/2022,31/12/9999,Res Camex 272 2021
3301.90.30,33,,3301,,Águas destiladas aromáticas e soluções aquosas de óleos essenciais,01/04/2022,31/12/9999,Res Camex 272 2021
3303.00,33,,3303,,Perfumes e águas-de-colônia.,01/04/2022,31/12/9999,Res Camex 272 2021
3303.00.20,33,,3303,,Águas-de-colônia,01/04/2022,31/12/9999,Res Camex 272 2021
6108.1,61,"Vestuário e seus acessórios, de malha.",6108,,- Combinações e anáguas (saiotes):,01/04/2022,31/12/9999,Res Camex 272 2021
6208.1,62,"Vestuário e seus acessórios, exceto de malha.",6208,,- Combinações e anáguas (saiotes):,01/04/2022,31/12/9999,Res Camex 272 2021
